order_month,orders,revenue,revenue_running_total,mom_growth_pct
2016-09-01,2,136.23,136.23,
2016-10-01,300,53915.5,54051.73,39476.8
2016-12-01,1,19.62,54071.35,-100.0
2017-01-01,797,138119.76,192191.11,703874.3
2017-02-01,1763,289081.01,481272.12,109.3
2017-03-01,2649,442406.37,923678.49,53.0
2017-04-01,2386,409846.01,1333524.5,-7.4
2017-05-01,3671,588529.96,1922054.46,43.6
2017-06-01,3229,507302.62,2429357.08,-13.8
2017-07-01,3998,585331.36,3014688.44,15.4
2017-08-01,4304,667224.47,3681912.91,14.0
2017-09-01,4265,723781.27,4405694.18,8.5
2017-10-01,4605,773104.35,5178798.53,6.8
2017-11-01,7507,1187224.36,6366022.89,53.6
2017-12-01,5662,874962.23,7240985.12,-26.3
2018-01-01,7235,1109464.0,8350449.12,26.8
2018-02-01,6655,984790.19,9335239.31,-11.2
2018-03-01,7185,1156243.76,10491483.07,17.4
2018-04-01,6924,1157336.33,11648819.4,0.1
2018-05-01,6849,1149483.77,12798303.17,-0.7
2018-06-01,6149,1021220.02,13819523.19,-11.2
2018-07-01,6251,1047422.72,14866945.91,2.6
2018-08-01,6428,998504.15,15865450.06,-4.7
2018-09-01,1,166.46,15865616.52,-100.0
