rev_rank,state,orders,revenue,pct_of_total_rev,cumulative_pct
1,SP,41419,5942397.11,37.5,37.5
2,RJ,12766,2126444.23,13.4,50.9
3,MG,11571,1856375.81,11.7,62.6
4,RS,5441,881680.6,5.6,68.1
5,PR,5023,802319.18,5.1,73.2
6,SC,3618,613707.46,3.9,77.0
7,BA,3364,611796.01,3.9,80.9
8,DF,2133,352718.04,2.2,83.1
9,GO,2007,342124.8,2.2,85.3
10,ES,2024,324038.9,2.0,87.3
11,PE,1647,323631.09,2.0,89.4
12,CE,1329,277495.89,1.7,91.1
13,PA,971,217816.55,1.4,92.5
14,MT,905,186414.0,1.2,93.7
15,MA,743,152038.99,1.0,94.6
16,PB,534,140995.67,0.9,95.5
17,MS,713,137173.21,0.9,96.4
18,PI,491,107935.13,0.7,97.0
19,RN,485,102718.13,0.6,97.7
20,AL,412,96322.08,0.6,98.3
21,SE,349,75184.46,0.5,98.8
22,TO,279,61234.76,0.4,99.2
23,RO,250,59195.1,0.4,99.5
24,AM,148,27966.93,0.2,99.7
25,AC,81,19680.62,0.1,99.8
26,AP,68,16262.8,0.1,99.9
27,RR,45,9948.97,0.1,100.0
